id,latitude,longitude,start,end,tot_start,tot_end
431034,36.319100,-86.640400,16:58:42.3,19:53:58.0,18:27:11.0,18:29:44.4
431035,36.182100,-86.695300,16:58:41.0,19:54:06.7,18:27:26.7,18:29:37.0
431036,36.237300,-86.786600,16:58:26.8,19:53:52.4,18:27:09.6,18:29:22.8
431037,36.149500,-86.690900,16:58:42.9,19:54:10.5,18:27:33.1,18:29:37.0
431038,36.237800,-86.758700,16:58:30.4,19:53:55.0,18:27:11.8,18:29:27.3
431039,36.099200,-86.710400,16:58:42.6,19:54:13.7,18:27:42.0,18:29:31.2
431040,36.141700,-86.666900,16:58:46.4,19:54:13.5,18:27:36.3,18:29:40.9
431041,36.230000,-86.829300,16:58:21.7,19:53:49.1,18:27:07.5,18:29:15.5
431042,36.081600,-86.956100,16:58:11.6,19:53:51.9,18:27:44.7,18:28:30.5
431043,36.177900,-86.763600,16:58:32.3,19:54:00.6,18:27:22.3,18:29:25.2
431044,36.116100,-86.787200,16:58:31.9,19:54:04.7,18:27:33.8,18:29:17.7
431045,36.229700,-86.772200,16:58:29.0,19:53:54.5,18:27:12.1,18:29:25.0
431046,36.330100,-86.628800,16:58:43.3,19:53:57.9,18:27:10.8,18:29:45.6
431047,36.186700,-86.758000,16:58:32.7,19:54:00.3,18:27:21.0,18:29:26.5
431048,36.227900,-86.846600,16:58:19.5,19:53:47.6,18:27:06.6,18:29:12.5
431049,36.210900,-86.872500,16:58:16.9,19:53:46.9,18:27:07.9,18:29:07.3
431050,36.198000,-86.752300,16:58:32.9,19:53:59.7,18:27:19.3,18:29:27.8
431051,36.252300,-86.786000,16:58:26.3,19:53:50.9,18:27:07.1,18:29:23.0
431052,36.152800,-86.856900,16:58:21.4,19:53:54.2,18:27:21.4,18:29:07.0
431053,36.234300,-86.801000,16:58:25.1,19:53:51.3,18:27:09.0,18:29:20.3
431054,36.040000,-86.649200,16:58:53.1,19:54:25.6,18:27:59.4,18:29:38.5
431055,36.142800,-86.685400,16:58:43.9,19:54:11.7,18:27:34.8,18:29:37.7
431056,36.159200,-86.793100,16:58:29.3,19:53:59.7,18:27:23.8,18:29:19.3
431057,36.148500,-86.822200,16:58:26.0,19:53:58.0,18:27:24.3,18:29:13.4
431058,36.166500,-86.764100,16:58:32.8,19:54:01.7,18:27:24.4,18:29:24.7
431059,36.171100,-86.688200,16:58:42.4,19:54:08.5,18:27:29.2,18:29:38.0
431060,36.239800,-86.743400,16:58:32.3,19:53:56.3,18:27:12.8,18:29:29.8
431061,36.140400,-86.731800,16:58:38.1,19:54:07.5,18:27:31.9,18:29:29.4
431062,36.231700,-86.747900,16:58:32.1,19:53:56.7,18:27:13.8,18:29:29.0
431063,36.132800,-86.819200,16:58:27.1,19:53:59.9,18:27:28.1,18:29:12.8
431064,36.217200,-86.692100,16:58:39.9,19:54:03.5,18:27:20.9,18:29:38.0
431065,36.115300,-86.774300,16:58:33.6,19:54:06.0,18:27:34.7,18:29:20.2
431066,36.204800,-86.750500,16:58:32.9,19:53:59.1,18:27:18.2,18:29:28.2
431067,36.126200,-86.726800,16:58:39.3,19:54:09.4,18:27:35.1,18:29:29.7
431068,36.263900,-86.736700,16:58:32.2,19:53:54.5,18:27:09.5,18:29:30.9
431069,36.237600,-86.780100,16:58:27.7,19:53:53.0,18:27:10.1,18:29:23.8
431070,36.147500,-86.744700,16:58:36.1,19:54:05.5,18:27:29.5,18:29:27.4
431071,36.052100,-86.670100,16:58:49.8,19:54:22.4,18:27:55.4,18:29:35.4
431072,36.241600,-86.752000,16:58:31.1,19:53:55.3,18:27:11.8,18:29:28.5
431073,36.003200,-86.607600,16:59:00.1,19:54:33.3,18:28:11.0,18:29:43.1
431074,36.143000,-86.736700,16:58:37.3,19:54:06.8,18:27:31.0,18:29:28.7
431075,36.237300,-86.729700,16:58:34.2,19:53:57.8,18:27:14.4,18:29:32.0
431076,36.145900,-86.645500,16:58:49.0,19:54:15.2,18:27:37.2,18:29:44.7
431077,36.157600,-86.758700,16:58:33.8,19:54:03.2,18:27:26.5,18:29:25.3
431078,36.083000,-86.762900,16:58:36.5,19:54:10.3,18:27:43.3,18:29:19.5
